"V1","V5","V6","V7","V8"
0,673,673,150000,514.2266
0.05,673,673,153145.1,514.2265
0.1,673,673,153145,514.2264
0.15,673,673,153145,514.2263
0.2,673,673,153144.9,514.2262
0.25,673,673,153144.9,514.2261
0.3,673,672.9999,153144.9,514.226
0.35,673,672.9999,153144.9,514.2259
0.4,673,672.9999,153144.8,514.2259
0.45,673,672.9999,153144.8,514.2258
0.5,673,672.9999,153144.8,514.2257
0.55,673,672.9999,153144.8,514.2257
0.6,673,672.9999,153144.7,514.2256
0.65,673,672.9999,153144.7,514.2256
0.7,673,672.9999,153144.7,514.2255
0.75,673,672.9999,153144.7,514.2255
0.8,673,672.9999,153144.7,514.2254
0.85,673,672.9999,153144.6,514.2254
0.9,673,672.9999,153144.6,514.2253
0.95,673,672.9999,153144.6,514.2253
1,673,672.9999,153144.6,514.2252
1.05,673,672.9999,153144.6,514.2252
1.1,673,672.9999,153144.5,514.2251
1.15,673,672.9999,153144.5,514.2251
1.2,673,672.9998,153144.5,514.225
1.25,673,672.9998,153144.5,514.2249
1.3,673,672.9998,153144.5,514.2249
1.35,673,672.9998,153144.4,514.2248
1.4,673,672.9998,153144.4,514.2248
1.45,673,672.9998,153144.4,514.2247
1.5,673,672.9998,153144.4,514.2247
1.55,673,672.9998,153144.4,514.2246
1.6,673,672.9998,153144.3,514.2246
1.65,673,672.9998,153144.3,514.2245
1.7,673,672.9998,153144.3,514.2245
1.75,673,672.9998,153144.3,514.2244
1.8,673,672.9998,153144.3,514.2244
1.85,673,672.9998,153144.2,514.2243
1.9,673,672.9998,153144.2,514.2243
1.95,673,672.9998,153144.2,514.2242
2,673,672.9998,153144.2,514.2241
2.001,673,672.9998,153144.2,514.2241
2.002,673,672.9998,153144.2,514.2241
2.003,673,672.9998,153144.2,514.2242
2.004,673,673.0004,153146.7,514.2307
2.005,673,673.0049,153164.5,514.278
2.006,673,673.0107,153187.7,514.3395
2.007,673,673.0165,153210.6,514.4005
2.008,673,673.0222,153233.2,514.4607
2.009,673,673.0278,153255.6,514.5202
2.01,673,673.0334,153277.8,514.579
2.011,673,673.039,153300,514.6378
2.012,673,673.0451,153324.4,514.7025
2.013,673,673.0528,153355,514.7836
2.014,673,673.0614,153389.1,514.8739
2.015,673,673.0697,153422.3,514.962
2.016,673,673.0777,153454,515.0462
2.017,673,673.0854,153484.8,515.1276
2.018,673,673.093,153514.7,515.2069
2.019,673,673.1004,153544.4,515.2853
2.02,673,673.1082,153575.6,515.3677
2.021,673,673.1169,153610,515.4587
2.022,673,673.1262,153647,515.5564
2.023,673,673.1355,153684,515.6543
2.024,673,673.1445,153719.8,515.7487
2.025,673,673.1531,153754.3,515.8397
2.026,673,673.1615,153787.8,515.9282
2.027,673,673.1699,153821.1,516.0158
2.028,673,673.1784,153855.3,516.106
2.029,673,673.1875,153891.4,516.201
2.03,673,673.197,153929.2,516.3006
2.031,673,673.2066,153967.6,516.4016
2.032,673,673.216,154005.2,516.5005
2.033,673,673.2251,154041.5,516.5961
2.034,673,673.234,154076.9,516.6891
2.035,673,673.2428,154112,516.7812
2.036,673,673.2517,154147.6,516.8747
2.037,673,673.2609,154184.3,516.971
2.038,673,673.2703,154222.2,517.0703
2.039,673,673.2799,154260.6,517.1711
2.04,673,673.2895,154298.7,517.271
2.041,673,673.2988,154335.9,517.3685
2.042,673,673.3079,154372.3,517.4636
2.043,673,673.3169,154408.2,517.5576
2.044,673,673.3259,154444.4,517.6522
2.045,673,673.3351,154481.1,517.7483
2.046,673,673.3444,154518.5,517.846
2.047,673,673.3539,154556.4,517.945
2.048,673,673.3633,154594.3,518.0439
2.049,673,673.3726,154631.6,518.1413
2.05,673,673.3818,154668.1,518.2366
2.051,673,673.3907,154704.1,518.3305
2.052,673,673.3997,154739.9,518.4237
2.053,673,673.4086,154775.6,518.5169
2.054,673,673.4175,154811.5,518.6103
2.055,673,673.4265,154847.5,518.704
2.056,673,673.4355,154883.4,518.7974
2.057,673,673.4443,154918.9,518.8897
2.058,673,673.453,154953.8,518.9803
2.059,673,673.4615,154988.1,519.0694
2.06,673,673.47,155022,519.1575
2.061,673,673.4783,155055.6,519.2448
2.062,673,673.4867,155089.1,519.3317
2.063,673,673.495,155122.5,519.4184
2.064,673,673.5033,155155.9,519.5049
2.065,673,673.5115,155188.9,519.5905
2.066,673,673.5196,155221.5,519.6751
2.067,673,673.5276,155253.7,519.7584
2.068,673,673.5355,155285.5,519.8406
2.069,673,673.5433,155316.9,519.9219
2.07,673,673.5511,155348,520.0024
2.071,673,673.5588,155379,520.0826
2.072,673,673.5665,155409.9,520.1625
2.073,673,673.5741,155440.7,520.2419
2.074,673,673.5817,155471.2,520.3207
2.075,673,673.5892,155501.3,520.3985
2.076,673,673.5965,155531,520.4752
2.077,673,673.6038,155560.4,520.5509
2.078,673,673.611,155589.4,520.6257
2.079,673,673.6182,155618.2,520.7001
2.08,673,673.6253,155647,520.7743
2.081,673,673.6324,155675.7,520.8482
2.082,673,673.6395,155704.2,520.9216
2.083,673,673.6465,155732.4,520.9943
2.084,673,673.6534,155760.3,521.066
2.085,673,673.6602,155787.8,521.1366
2.086,673,673.667,155814.9,521.2064
2.087,673,673.6736,155841.9,521.2757
2.088,673,673.6803,155868.7,521.3448
2.089,673,673.6869,155895.6,521.4138
